TimeStamp,Open,High,Low,Close
2010-12-10 21:00:00,1.32287,1.34984,1.31336,1.31851
2010-12-17 21:00:00,1.31853,1.32019,1.30556,1.31165
2010-12-24 21:00:00,1.31163,1.34242,1.30726,1.33698
2010-12-31 21:00:00,1.33695,1.34340,1.29058,1.29096
2011-01-07 21:00:00,1.29092,1.34572,1.28607,1.33729
2011-01-14 21:00:00,1.33731,1.36248,1.32446,1.36143
2011-01-21 21:00:00,1.36145,1.37586,1.35408,1.36086
2011-01-28 21:00:00,1.36089,1.38616,1.35438,1.35873
2011-02-04 21:00:00,1.35871,1.37443,1.34977,1.35472
2011-02-11 21:00:00,1.35469,1.37151,1.34291,1.36859
2011-02-18 21:00:00,1.36857,1.38380,1.35258,1.37527
2011-02-25 21:00:00,1.37525,1.40071,1.37115,1.39844
2011-03-04 21:00:00,1.39841,1.40360,1.37522,1.39023
2011-03-11 21:00:00,1.39025,1.41837,1.38556,1.41689
2011-03-18 20:00:00,1.41687,1.42484,1.40540,1.40750
2011-03-25 20:00:00,1.40748,1.42455,1.40208,1.42226
2011-04-01 20:00:00,1.42223,1.44663,1.41518,1.44562
2011-04-08 20:00:00,1.44564,1.45204,1.43656,1.44266
2011-04-15 20:00:00,1.44269,1.46485,1.41572,1.45472
2011-04-22 20:00:00,1.45475,1.48820,1.44938,1.48102
2011-04-29 20:00:00,1.48100,1.49402,1.43156,1.43530
2011-05-06 20:00:00,1.43533,1.44423,1.40666,1.41059
2011-05-13 20:00:00,1.41057,1.43456,1.40484,1.41562
2011-05-20 20:00:00,1.41559,1.43031,1.39698,1.42856
2011-05-27 20:00:00,1.42859,1.46426,1.42573,1.46339
2011-06-03 20:00:00,1.46337,1.46963,1.43224,1.43348
2011-06-10 20:00:00,1.43350,1.44971,1.40740,1.43065
2011-06-17 20:00:00,1.43063,1.44420,1.41265,1.41811
2011-06-24 20:00:00,1.41814,1.45519,1.41027,1.45276
2011-07-01 20:00:00,1.45279,1.45779,1.42058,1.42596
2011-07-08 20:00:00,1.42593,1.42983,1.38372,1.41475
2011-07-15 20:00:00,1.41478,1.44373,1.40145,1.43681
2011-07-22 20:00:00,1.43683,1.45361,1.42297,1.43664
2011-07-29 20:00:00,1.43666,1.44537,1.40554,1.42818
2011-08-05 20:00:00,1.42821,1.44334,1.41040,1.42502
2011-08-12 20:00:00,1.42505,1.45174,1.42266,1.43956
2011-08-19 20:00:00,1.43959,1.45018,1.43281,1.44959
2011-08-26 20:00:00,1.44956,1.45487,1.41844,1.41951
2011-09-02 20:00:00,1.41949,1.42838,1.36268,1.36615
2011-09-09 20:00:00,1.36618,1.39370,1.34957,1.37950
2011-09-16 20:00:00,1.37947,1.38013,1.33852,1.35236
2011-09-23 20:00:00,1.35231,1.36902,1.33626,1.33958
2011-09-30 20:00:00,1.33962,1.35249,1.31459,1.33864
2011-10-07 20:00:00,1.33860,1.38941,1.33462,1.38781
2011-10-14 20:00:00,1.38777,1.39143,1.36533,1.38948
2011-10-21 20:00:00,1.38953,1.42473,1.37982,1.41573
2011-10-28 20:00:00,1.41569,1.41716,1.36086,1.37703
2011-11-04 20:00:00,1.37699,1.38589,1.34840,1.37553
2011-11-11 21:00:00,1.37549,1.38137,1.34221,1.35151
2011-11-18 21:00:00,1.35147,1.35687,1.32123,1.32326
2011-11-25 21:00:00,1.32330,1.35486,1.32309,1.34049
2011-12-02 21:00:00,1.34053,1.34862,1.32822,1.33696
2011-12-09 21:00:00,1.33700,1.33887,1.29458,1.30365
2011-12-16 21:00:00,1.30361,1.31984,1.29832,1.30426
2011-12-23 21:00:00,1.30422,1.30831,1.28584,1.29415
2011-12-30 21:00:00,1.29419,1.30766,1.26974,1.27219
2012-01-06 21:00:00,1.27223,1.28783,1.26242,1.26838
2012-01-13 21:00:00,1.26842,1.29860,1.26264,1.29331
2012-01-20 21:00:00,1.29335,1.32202,1.28565,1.32188
2012-01-27 21:00:00,1.32192,1.32342,1.30264,1.31463
2012-02-03 21:00:00,1.31459,1.33218,1.30279,1.31722
2012-02-10 21:00:00,1.31717,1.32840,1.29748,1.31565
2012-02-17 21:00:00,1.31569,1.34865,1.31396,1.34657
2012-02-24 21:00:00,1.34662,1.34856,1.31872,1.32042
2012-03-02 21:00:00,1.32046,1.32912,1.30967,1.31148
2012-03-09 21:00:00,1.31152,1.31915,1.30044,1.31660
2012-03-16 20:00:00,1.31664,1.32936,1.31340,1.32669
2012-03-23 20:00:00,1.32673,1.33855,1.31923,1.33367
2012-03-30 20:00:00,1.33363,1.33803,1.30351,1.30992
2012-04-06 20:00:00,1.30988,1.32127,1.30337,1.30754
2012-04-13 20:00:00,1.30758,1.32246,1.29952,1.32108
2012-04-20 20:00:00,1.32104,1.32702,1.31048,1.32371
2012-04-27 20:00:00,1.32367,1.32838,1.30805,1.30890
2012-05-04 20:00:00,1.30886,1.30920,1.29054,1.29230
2012-05-11 20:00:00,1.29226,1.29350,1.26427,1.27762
2012-05-18 20:00:00,1.27758,1.28243,1.24964,1.25124
2012-05-25 20:00:00,1.25120,1.26244,1.22886,1.24192
2012-06-01 20:00:00,1.24196,1.26254,1.23862,1.24997
2012-06-08 20:00:00,1.24993,1.26714,1.24428,1.26580
2012-06-15 20:00:00,1.26576,1.27477,1.25196,1.25617
2012-06-22 20:00:00,1.25621,1.26930,1.24076,1.26559
2012-06-29 20:00:00,1.26563,1.26810,1.22605,1.22822
2012-07-06 20:00:00,1.22824,1.23338,1.21626,1.22410
2012-07-13 20:00:00,1.22407,1.23244,1.21442,1.21570
2012-07-20 20:00:00,1.21572,1.23898,1.20424,1.22998
2012-07-27 20:00:00,1.23002,1.24053,1.21338,1.23805
2012-08-03 20:00:00,1.23805,1.24434,1.22414,1.22937
