DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/29/2015 15:30:00,USD,EIA Natural Gas Storage Change,United States,1,-94.000,-216.000,-113.000
01/29/2015 18:00:00,USD,7-Year Note Auction,United States,1,1.590,2.125,
01/30/2015 07:00:00,EUR,Retail Sales (MoM),Germany,2,0.600,0.900,0.300
01/30/2015 07:00:00,EUR,Retail Sales (YoY),Germany,2,4.800,-1.000,3.500
01/30/2015 07:45:00,EUR,Producer Prices (MoM),France,1,-0.900,-0.100,
01/30/2015 07:45:00,EUR,Consumer Spending (MoM),France,1,1.600,0.200,0.200
01/30/2015 10:00:00,EUR,Unemployment Rate,European Monetary Union,2,11.300,11.500,11.500
01/30/2015 10:00:00,EUR,Consumer Price Index - Core (YoY),European Monetary Union,3,0.500,0.700,0.600
01/30/2015 10:00:00,EUR,Consumer Price Index (YoY),European Monetary Union,3,-0.600,-0.200,-0.500
01/30/2015 13:30:00,USD,Gross Domestic Product Price Index,United States,2,-0.100,1.400,1.000
01/30/2015 13:30:00,USD,Gross Domestic Product Annualized,United States,3,2.600,5.000,3.300
01/30/2015 13:30:00,USD,Employment Cost Index,United States,1,0.600,0.700,0.600
01/30/2015 13:30:00,USD,Personal Consumption Expenditures Prices (QoQ),United States,2,-0.500,1.200,0.800
01/30/2015 13:30:00,USD,Core Personal Consumption Expenditures (QoQ),United States,2,1.100,1.400,1.200
01/30/2015 14:45:00,USD,Chicago Purchasing Managers' Index,United States,2,59.400,58.300,57.500
01/30/2015 15:00:00,USD,Michigan Consumer Sentiment Index,United States,2,98.100,98.200,98.200
02/02/2015 08:50:00,EUR,Markit Manufacturing PMI,France,1,49.200,49.500,49.500
02/02/2015 08:55:00,EUR,Markit Manufacturing PMI,Germany,2,50.900,51.000,51.000
02/02/2015 09:00:00,EUR,Markit Manufacturing PMI,European Monetary Union,2,51.000,51.000,51.000
02/02/2015 13:30:00,USD,Core Personal Consumption Expenditure - Price Index (MoM),United States,1,0.000,0.000,0.100
02/02/2015 13:30:00,USD,Personal Consumption Expenditures - Price Index (YoY),United States,1,0.800,1.200,
02/02/2015 13:30:00,USD,Personal Consumption Expenditures - Price Index (MoM),United States,1,-0.200,-0.200,
02/02/2015 13:30:00,USD,Personal Income (MoM),United States,2,0.300,0.300,0.200
02/02/2015 13:30:00,USD,Core Personal Consumption Expenditure - Price Index (YoY),United States,2,1.300,1.400,
02/02/2015 13:30:00,USD,Personal Spending,United States,2,-0.300,0.500,-0.200
02/02/2015 14:45:00,USD,Markit Manufacturing PMI,United States,2,53.900,53.700,
02/02/2015 15:00:00,USD,Loan Officer Survey,United States,1,,,
